"Year_of_issue","Probability","Index","Aggregation","District","Month_of_issue","Category"
"2016",0.1,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2017",0.2,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2018",0.29,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2019",0.45,"SPI DJ","SPI 2","Chibuto","10","Leve"
"2020",0.32,"SPI DJ","SPI 2","Chibuto","10","Leve"
"1993",0.18,"SPI DJ","SPI 2","Guija","10","Leve"
"1994",0.29,"SPI DJ","SPI 2","Guija","10","Leve"
"1995",0,"SPI DJ","SPI 2","Guija","10","Leve"
"1996",0.25,"SPI DJ","SPI 2","Guija","10","Leve"
"1997",0.33,"SPI DJ","SPI 2","Guija","10","Leve"
"1998",0.1,"SPI DJ","SPI 2","Guija","10","Leve"
"1999",0.21,"SPI DJ","SPI 2","Guija","10","Leve"
"2000",0.25,"SPI DJ","SPI 2","Guija","10","Leve"
"2001",0.31,"SPI DJ","SPI 2","Guija","10","Leve"
"2002",0.5,"SPI DJ","SPI 2","Guija","10","Leve"
"2003",0.29,"SPI DJ","SPI 2","Guija","10","Leve"
"2004",0.3,"SPI DJ","SPI 2","Guija","10","Leve"
"2005",0.18,"SPI DJ","SPI 2","Guija","10","Leve"
"2006",0.32,"SPI DJ","SPI 2","Guija","10","Leve"
"2007",0.19,"SPI DJ","SPI 2","Guija","10","Leve"
"2008",0.16,"SPI DJ","SPI 2","Guija","10","Leve"
"2009",0.38,"SPI DJ","SPI 2","Guija","10","Leve"
"2010",0.12,"SPI DJ","SPI 2","Guija","10","Leve"
"2011",0.16,"SPI DJ","SPI 2","Guija","10","Leve"
"2012",0.32,"SPI DJ","SPI 2","Guija","10","Leve"
"2013",0.18,"SPI DJ","SPI 2","Guija","10","Leve"
"2014",0.21,"SPI DJ","SPI 2","Guija","10","Leve"
"2015",0.53,"SPI DJ","SPI 2","Guija","10","Leve"
"2016",0.15,"SPI DJ","SPI 2","Guija","10","Leve"
"2017",0.2,"SPI DJ","SPI 2","Guija","10","Leve"
"2018",0.29,"SPI DJ","SPI 2","Guija","10","Leve"
"2019",0.44,"SPI DJ","SPI 2","Guija","10","Leve"
"2020",0.36,"SPI DJ","SPI 2","Guija","10","Leve"
"1993",0.28,"SPI DJ","SPI 2","Changara","10","Leve"
"1994",0.3,"SPI DJ","SPI 2","Changara","10","Leve"
"1995",0.15,"SPI DJ","SPI 2","Changara","10","Leve"
"1996",0.24,"SPI DJ","SPI 2","Changara","10","Leve"
"1997",0.2,"SPI DJ","SPI 2","Changara","10","Leve"
"1998",0.15,"SPI DJ","SPI 2","Changara","10","Leve"
"1999",0.17,"SPI DJ","SPI 2","Changara","10","Leve"
"2000",0.28,"SPI DJ","SPI 2","Changara","10","Leve"
"2001",0.24,"SPI DJ","SPI 2","Changara","10","Leve"
"2002",0.46,"SPI DJ","SPI 2","Changara","10","Leve"
"2003",0.29,"SPI DJ","SPI 2","Changara","10","Leve"
"2004",0.18,"SPI DJ","SPI 2","Changara","10","Leve"
"2005",0.12,"SPI DJ","SPI 2","Changara","10","Leve"
"2006",0.24,"SPI DJ","SPI 2","Changara","10","Leve"
